run	head	dataset	class	image	method	correct	frac	area	conc	peak	pos_share	in_mean	out_mean	conc_pos	conc_neg
A1_convnext_tiny_120ep	protopnet	data	Fasciolopsis buski	Fasciolopsis buski_0636.jpg	hirescam	0	nan	nan	nan	nan	nan	nan	nan	nan	nan
A1_convnext_tiny_120ep	protopnet	data	Fasciolopsis buski	Fasciolopsis buski_0636.jpg	integrated_gradients	0	0.0572	0.1553	0.3681	0	1.0000	3.53909e-07	1.07298e-06	0.3681	nan
A1_convnext_tiny_120ep	protopnet	data	Fasciolopsis buski	Fasciolopsis buski_0636.jpg	lime	0	nan	nan	nan	nan	nan	nan	nan	nan	nan
A1_convnext_tiny_120ep	protopnet	data	Fasciolopsis buski	Fasciolopsis buski_0636.jpg	kernelshap	0	0.1489	0.1553	0.9590	0	1.0000	0.00086001	0.000903589	0.9590	nan
A1_convnext_tiny_120ep	protopnet	data	Fasciolopsis buski	Fasciolopsis buski_0362.jpg	ours:protopnet	0	0.0501	0.0644	0.7789	0	1.0000	0.215863	0.281356	0.7789	nan
A1_convnext_tiny_120ep	protopnet	data	Fasciolopsis buski	Fasciolopsis buski_0362.jpg	gradcam	0	0.0729	0.0644	1.1318	0	0.6463	0.014504	0.00446777	1.5177	0.4265
A1_convnext_tiny_120ep	protopnet	data	Fasciolopsis buski	Fasciolopsis buski_0362.jpg	hirescam	0	nan	nan	nan	nan	nan	nan	nan	nan	nan
A1_convnext_tiny_120ep	protopnet	data	Fasciolopsis buski	Fasciolopsis buski_0362.jpg	integrated_gradients	0	0.0038	0.0644	0.0593	0	1.0000	2.44489e-08	4.39153e-07	0.0593	nan
A1_convnext_tiny_120ep	protopnet	data	Fasciolopsis buski	Fasciolopsis buski_0362.jpg	lime	0	nan	nan	nan	nan	nan	nan	nan	nan	nan
A1_convnext_tiny_120ep	protopnet	data	Fasciolopsis buski	Fasciolopsis buski_0362.jpg	kernelshap	0	0.0551	0.0644	0.8563	0	1.0000	0.000520262	0.00061354	0.8563	nan
A1_convnext_tiny_120ep	protopnet	data	Fasciolopsis buski	Fasciolopsis buski_0873.jpg	ours:protopnet	0	0.0538	0.0642	0.8392	0	1.0000	0.232583	0.280213	0.8392	nan
A1_convnext_tiny_120ep	protopnet	data	Fasciolopsis buski	Fasciolopsis buski_0873.jpg	gradcam	0	0.0447	0.0642	0.6969	0	0.6460	-0.0121672	0.00628275	0.0000	1.9687
A1_convnext_tiny_120ep	protopnet	data	Fasciolopsis buski	Fasciolopsis buski_0873.jpg	hirescam	0	nan	nan	nan	nan	nan	nan	nan	nan	nan
A1_convnext_tiny_120ep	protopnet	data	Fasciolopsis buski	Fasciolopsis buski_0873.jpg	integrated_gradients	0	0.0070	0.0642	0.1089	0	1.0000	3.7755e-08	3.68018e-07	0.1089	nan
A1_convnext_tiny_120ep	protopnet	data	Fasciolopsis buski	Fasciolopsis buski_0873.jpg	lime	0	nan	nan	nan	nan	nan	nan	nan	nan	nan
A1_convnext_tiny_120ep	protopnet	data	Fasciolopsis buski	Fasciolopsis buski_0873.jpg	kernelshap	0	0.0537	0.0642	0.8365	0	1.0000	0.000561956	0.000679352	0.8365	nan
A1_convnext_tiny_120ep	protopnet	data	Fasciolopsis buski	Fasciolopsis buski_0349.jpg	ours:protopnet	0	0.0363	0.0417	0.8708	0	1.0000	0.241348	0.278698	0.8708	nan
A1_convnext_tiny_120ep	protopnet	data	Fasciolopsis buski	Fasciolopsis buski_0349.jpg	gradcam	0	0.0260	0.0417	0.6235	0	0.6459	-0.0107672	0.00578424	0.0052	1.7516
A1_convnext_tiny_120ep	protopnet	data	Fasciolopsis buski	Fasciolopsis buski_0349.jpg	hirescam	0	nan	nan	nan	nan	nan	nan	nan	nan	nan
A1_convnext_tiny_120ep	protopnet	data	Fasciolopsis buski	Fasciolopsis buski_0349.jpg	integrated_gradients	0	0.0116	0.0417	0.2793	0	1.0000	1.1326e-07	4.18176e-07	0.2793	nan
A1_convnext_tiny_120ep	protopnet	data	Fasciolopsis buski	Fasciolopsis buski_0349.jpg	lime	0	nan	nan	nan	nan	nan	nan	nan	nan	nan
A1_convnext_tiny_120ep	protopnet	data	Fasciolopsis buski	Fasciolopsis buski_0349.jpg	kernelshap	0	0.0317	0.0417	0.7602	0	1.0000	0.000438034	0.000582234	0.7602	nan
A1_convnext_tiny_120ep	protopnet	data	Hookworm egg	Hookworm egg_0634.jpg	ours:protopnet	0	0.0353	0.0394	0.8959	0	1.0000	0.249652	0.279853	0.8959	nan
A1_convnext_tiny_120ep	protopnet	data	Hookworm egg	Hookworm egg_0634.jpg	gradcam	0	0.0111	0.0394	0.2811	0	0.0004	-0.000671363	-0.00245638	0.0000	0.2812
A1_convnext_tiny_120ep	protopnet	data	Hookworm egg	Hookworm egg_0634.jpg	hirescam	0	nan	nan	nan	nan	nan	nan	nan	nan	nan
A1_convnext_tiny_120ep	protopnet	data	Hookworm egg	Hookworm egg_0634.jpg	integrated_gradients	0	0.0304	0.0394	0.7726	0	1.0000	1.59335e-07	2.08156e-07	0.7726	nan
A1_convnext_tiny_120ep	protopnet	data	Hookworm egg	Hookworm egg_0634.jpg	lime	0	nan	nan	nan	nan	nan	nan	nan	nan	nan
A1_convnext_tiny_120ep	protopnet	data	Hookworm egg	Hookworm egg_0634.jpg	kernelshap	0	0.0288	0.0394	0.7316	0	1.0000	5.42514e-05	7.49685e-05	0.7316	nan
A1_convnext_tiny_120ep	protopnet	data	Hookworm egg	Hookworm egg_0913.jpg	ours:protopnet	0	0.0082	0.0095	0.8699	0	1.0000	0.242368	0.278949	0.8699	nan
A1_convnext_tiny_120ep	protopnet	data	Hookworm egg	Hookworm egg_0913.jpg	gradcam	0	0.0032	0.0095	0.3356	0	0.0005	-0.000788052	-0.00236108	0.0000	0.3357
A1_convnext_tiny_120ep	protopnet	data	Hookworm egg	Hookworm egg_0913.jpg	hirescam	0	nan	nan	nan	nan	nan	nan	nan	nan	nan
A1_convnext_tiny_120ep	protopnet	data	Hookworm egg	Hookworm egg_0913.jpg	integrated_gradients	0	0.0058	0.0095	0.6122	0	1.0000	4.82483e-08	7.90986e-08	0.6122	nan
A1_convnext_tiny_120ep	protopnet	data	Hookworm egg	Hookworm egg_0913.jpg	lime	0	nan	nan	nan	nan	nan	nan	nan	nan	nan
A1_convnext_tiny_120ep	protopnet	data	Hookworm egg	Hookworm egg_0913.jpg	kernelshap	0	0.0109	0.0095	1.1516	0	1.0000	3.00139e-05	2.60245e-05	1.1516	nan
A1_convnext_tiny_120ep	protopnet	data	Hookworm egg	Hookworm egg_0588.jpg	ours:protopnet	0	0.0074	0.0072	1.0350	0	1.0000	0.288197	0.278384	1.0350	nan
A1_convnext_tiny_120ep	protopnet	data	Hookworm egg	Hookworm egg_0588.jpg	gradcam	0	0.0010	0.0072	0.1394	0	0.0006	-0.000196892	-0.00228495	45.8229	0.1131
A1_convnext_tiny_120ep	protopnet	data	Hookworm egg	Hookworm egg_0588.jpg	hirescam	0	nan	nan	nan	nan	nan	nan	nan	nan	nan
A1_convnext_tiny_120ep	protopnet	data	Hookworm egg	Hookworm egg_0588.jpg	integrated_gradients	0	0.0196	0.0072	2.7326	0	1.0000	4.40834e-07	1.59303e-07	2.7326	nan
A1_convnext_tiny_120ep	protopnet	data	Hookworm egg	Hookworm egg_0588.jpg	lime	0	nan	nan	nan	nan	nan	nan	nan	nan	nan
A1_convnext_tiny_120ep	protopnet	data	Hookworm egg	Hookworm egg_0588.jpg	kernelshap	0	0.0229	0.0072	3.1886	0	1.0000	0.000216712	6.68894e-05	3.1886	nan
A1_convnext_tiny_120ep	protopnet	data	Hookworm egg	Hookworm egg_0942.jpg	ours:protopnet	0	0.0067	0.0085	0.7806	0	1.0000	0.217428	0.279074	0.7806	nan
A1_convnext_tiny_120ep	protopnet	data	Hookworm egg	Hookworm egg_0942.jpg	gradcam	0	0.0086	0.0085	1.0003	0	0.0005	-0.00230664	-0.00230376	0.0000	1.0008
A1_convnext_tiny_120ep	protopnet	data	Hookworm egg	Hookworm egg_0942.jpg	hirescam	0	nan	nan	nan	nan	nan	nan	nan	nan	nan
A1_convnext_tiny_120ep	protopnet	data	Hookworm egg	Hookworm egg_0942.jpg	integrated_gradients	0	0.0035	0.0085	0.4067	0	1.0000	4.95311e-08	1.22414e-07	0.4067	nan
